chebiId	cid	cmpdType	nsc
CHEBI:11047	NA	NA	NA
CHEBI:1109	NA	NA	NA
CHEBI:1130536	NA	NA	NA
CHEBI:113454	1390	standardized	88064
CHEBI:113	NA	NA	NA
CHEBI:114785	176870	standardized	718781
CHEBI:1148	11266	standardized	6495
CHEBI:114953	NA	NA	NA
CHEBI:11563	NA	NA	NA
CHEBI:1156	NA	NA	NA
CHEBI:11596	NA	NA	NA
CHEBI:116225	NA	NA	NA
CHEBI:116278	NA	NA	NA
CHEBI:116314	5283387	standardized	26987
CHEBI:116735	2337	standardized	41531,4688,122792,755909
CHEBI:11750	NA	NA	NA
CHEBI:11805	NA	NA	NA
CHEBI:1184	NA	NA	NA
CHEBI:11851	NA	NA	NA
CHEBI:11892	6971254	standardized	NA
CHEBI:11892	111	component	65768,190691
CHEBI:1189	NA	NA	NA
CHEBI:11909	92787	standardized	97078
CHEBI:119486	64139	standardized	742403
CHEBI:11951	6991994	standardized	NA
CHEBI:11951	18189	component	27423
CHEBI:119915	NA	NA	NA
CHEBI:120346	NA	NA	NA
CHEBI:12071	NA	NA	NA
CHEBI:12194	NA	NA	NA
CHEBI:1224	11831	standardized	5182
CHEBI:1233	NA	NA	NA
CHEBI:123417	NA	NA	NA
CHEBI:12350	NA	NA	NA
CHEBI:12387	NA	NA	NA
CHEBI:12427	NA	NA	NA
CHEBI:125204	NA	NA	NA
CHEBI:126237	NA	NA	NA
CHEBI:126598	NA	NA	NA
CHEBI:127342	NA	NA	NA
CHEBI:127544	NA	NA	NA
CHEBI:128458	27503	standardized	109500
CHEBI:128458	2882	component	109500
CHEBI:128458	5360545	component	NA
CHEBI:128769	NA	NA	NA
CHEBI:12876	54708745	standardized	NA
CHEBI:12876	637542	component	59260,674321
CHEBI:1294	NA	NA	NA
CHEBI:12962	NA	NA	NA
CHEBI:1296	NA	NA	NA
CHEBI:129715	NA	NA	NA
CHEBI:1301	NA	NA	NA
CHEBI:13086	NA	NA	NA
CHEBI:13115	NA	NA	NA
CHEBI:13170	NA	NA	NA
CHEBI:13172	6904	standardized	97195
CHEBI:132842	5336	standardized	4753,41791,757329
CHEBI:13332	NA	NA	NA
CHEBI:133809	2197	standardized	759629
CHEBI:13392	NA	NA	NA
CHEBI:1367	NA	NA	NA
CHEBI:13705	NA	NA	NA
CHEBI:13719	3434975	standardized	NA
CHEBI:13719	2244	component	27223,406186,755899
CHEBI:1372	NA	NA	NA
CHEBI:13850	NA	NA	NA
CHEBI:1387	91528	standardized	92532
CHEBI:1391	NA	NA	NA
CHEBI:139316	NA	NA	NA
CHEBI:142290	NA	NA	NA
CHEBI:14314	NA	NA	NA
CHEBI:1438	NA	NA	NA
CHEBI:1449	NA	NA	NA
CHEBI:14597	NA	NA	NA
CHEBI:1463	NA	NA	NA
CHEBI:14649	NA	NA	NA
CHEBI:149226	NA	NA	NA
CHEBI:14949	NA	NA	NA
CHEBI:1500819	NA	NA	NA
CHEBI:15022	NA	NA	NA
CHEBI:15033	NA	NA	NA
CHEBI:15035	NA	NA	NA
CHEBI:15075	NA	NA	NA
CHEBI:15076	NA	NA	NA
CHEBI:151	NA	NA	NA
CHEBI:15334	NA	NA	NA
CHEBI:15339	NA	NA	NA
CHEBI:15341	NA	NA	NA
CHEBI:15342	6724	standardized	7656
CHEBI:15343	177	standardized	7594
CHEBI:15344	NA	NA	NA
CHEBI:15345	NA	NA	NA
CHEBI:15346	NA	NA	NA
CHEBI:15347	180	standardized	135802
CHEBI:15348	6406	standardized	131093,977,7080
CHEBI:15350	NA	NA	NA
CHEBI:15351	NA	NA	NA
CHEBI:15354	305	standardized	402838,6393
CHEBI:15355	NA	NA	NA
CHEBI:15356	594	standardized	63864,647530,5862
CHEBI:15361	107735	standardized	NA
CHEBI:15361	1060	component	179
CHEBI:15364	5459765	standardized	NA
CHEBI:15364	10110	component	16152
CHEBI:15365	2244	standardized	27223,406186,755899
CHEBI:15366	176	standardized	132953,406306
CHEBI:15367	444795	standardized	122758,659772,759631
CHEBI:15368	7847	standardized	8819
CHEBI:15371	NA	NA	NA
CHEBI:15372	NA	NA	NA
CHEBI:15373	2380	standardized	339699
CHEBI:15374	NA	NA	NA
CHEBI:15375	NA	NA	NA
CHEBI:15377	962	standardized	147337
CHEBI:15378	1038	standardized	NA
CHEBI:15378	783	component	356464
CHEBI:15379	NA	NA	NA
CHEBI:15380	NA	NA	NA
CHEBI:15382	NA	NA	NA
CHEBI:15383	NA	NA	NA
CHEBI:15384	22311	standardized	21446,844,757069
CHEBI:15407	9294	standardized	8971,170951
CHEBI:15409	16666	standardized	62788,2603,758395
CHEBI:15412	NA	NA	NA
CHEBI:15414	NA	NA	NA
CHEBI:15421	16441	standardized	138642
CHEBI:15422	NA	NA	NA
CHEBI:15428	750	standardized	25936,760120
CHEBI:15429	NA	NA	NA
CHEBI:15430	4971	standardized	2632,757839
CHEBI:15435	NA	NA	NA
CHEBI:15436	NA	NA	NA
CHEBI:15437	NA	NA	NA
CHEBI:15439	NA	NA	NA
CHEBI:15440	638072	standardized	93748
CHEBI:15441	NA	NA	NA
CHEBI:15442	NA	NA	NA
CHEBI:15443	NA	NA	NA
CHEBI:15444	NA	NA	NA
CHEBI:15449	NA	NA	NA
CHEBI:15450	NA	NA	NA
CHEBI:15451	NA	NA	NA
CHEBI:15452	NA	NA	NA
CHEBI:15453	NA	NA	NA
CHEBI:15455	NA	NA	NA
CHEBI:15456	NA	NA	NA
CHEBI:15465	NA	NA	NA
CHEBI:15466	NA	NA	NA
CHEBI:15467	NA	NA	NA
CHEBI:15468	NA	NA	NA
CHEBI:15471	NA	NA	NA
CHEBI:15473	NA	NA	NA
CHEBI:15475	NA	NA	NA
CHEBI:15476	NA	NA	NA
CHEBI:15477	NA	NA	NA
CHEBI:15478	NA	NA	NA
CHEBI:15479	NA	NA	NA
CHEBI:15486	NA	NA	NA
CHEBI:15487	NA	NA	NA
CHEBI:15488	NA	NA	NA
CHEBI:15489	NA	NA	NA
CHEBI:15490	NA	NA	NA
CHEBI:15491	NA	NA	NA
CHEBI:15494	NA	NA	NA
CHEBI:15495	NA	NA	NA
CHEBI:15499	NA	NA	NA
CHEBI:15500	NA	NA	NA
CHEBI:15508	NA	NA	NA
CHEBI:15513	NA	NA	NA
CHEBI:15514	NA	NA	NA
CHEBI:15515	NA	NA	NA
CHEBI:15517	NA	NA	NA
CHEBI:15519	NA	NA	NA
CHEBI:15521	NA	NA	NA
CHEBI:15522	NA	NA	NA
CHEBI:15524	NA	NA	NA
CHEBI:15525	NA	NA	NA
